symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
ETCUSDT,240,-1,0.5764,1.0000,1.0000,13.790000,0.025790,0.025000,0.045000,0.065000,0.9694,1.7449,0.6852,0.6777,0.8431,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9222,C,0.5764,1.0110,0.8127,0.075660,0.6500,0.0000,22.35,0.013450,1.0000,0.8094,1,1,1,1.0,3.0,0.033000,0.071719,0.017694,6
ALGOUSDT,240,-1,0.5683,1.0000,1.0000,0.137800,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8524,0.5313,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8589,D,0.5683,0.8039,1.2897,0.114848,0.5313,0.0000,9.47,0.016747,1.0000,0.8058,1,1,1,1.0,3.0,0.033000,0.073295,0.022496,7
ADAUSDT,240,-1,0.6026,1.0000,1.0000,0.417400,0.045580,0.025000,0.045000,0.065000,0.5485,0.9873,0.6852,0.8190,0.7920,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9133,C,0.6026,0.8366,0.8651,0.070723,0.6500,0.0000,13.22,0.018966,1.0000,0.8212,1,1,1,1.0,3.0,0.033000,0.087686,0.023718,6
ALLOUSDT,240,-1,0.5626,1.0000,1.0000,0.144900,0.060000,0.031567,0.058925,0.092596,0.5261,0.9821,0.6852,0.8551,0.4918,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8531,D,0.5626,0.8013,1.3932,0.129080,0.4918,0.0000,9.38,0.042089,1.0000,0.8032,0,0,0,0.0,-1.0,-0.060000,0.000690,0.076605,1
XLMUSDT,240,-1,0.5708,1.0000,1.0000,0.252330,0.035747,0.025000,0.045000,0.065000,0.6994,1.2589,0.6852,0.7361,0.7210,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9314,C,0.5708,0.9309,0.9503,0.033339,0.6500,0.0000,15.97,0.017867,1.0000,0.8069,1,1,1,1.0,3.0,0.033000,0.087544,0.007886,5
DOGEUSDT,240,-1,0.6175,1.0000,1.0000,0.149300,0.044239,0.025000,0.045000,0.065000,0.5651,1.0172,0.6852,0.8461,0.8432,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9093,C,0.6175,0.8098,0.8126,0.089389,0.6500,0.0000,13.96,0.015068,1.0000,0.8279,1,1,1,1.0,3.0,0.033000,0.086068,0.008038,5
SNXUSDT,240,-1,0.5559,1.0000,1.0000,0.540000,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8401,0.4729,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8422,D,0.5559,0.8156,1.4489,0.130524,0.4729,0.0000,9.26,0.024163,1.0000,0.8001,1,1,1,1.0,3.0,0.033000,0.083333,0.025926,5
DOTUSDT,240,-1,0.6059,1.0000,1.0000,2.260000,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8447,0.7737,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9034,C,0.6059,0.8111,0.8856,0.076152,0.6500,0.0000,10.10,0.017972,1.0000,0.8226,1,1,1,1.0,3.0,0.033000,0.112832,0.011504,4
SOLUSDT,240,-1,0.5667,1.0000,1.0000,138.289993,0.042985,0.025000,0.045000,0.065000,0.5816,1.0469,0.6852,0.8454,0.9190,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8804,D,0.5667,0.8105,0.7456,0.111105,0.6500,0.0000,13.18,0.016254,1.0000,0.8050,1,1,1,1.0,3.0,0.033000,0.090824,0.010847,4
AVAXUSDT,240,-1,0.5601,1.0000,1.0000,14.159000,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8099,0.5440,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8680,D,0.5601,0.8460,1.2594,0.094948,0.5440,0.0000,9.33,0.014723,1.0000,0.8020,1,1,1,1.0,3.0,0.033000,0.091249,0.008405,4
AAVEUSDT,240,-1,0.5877,1.0000,1.0000,180.149994,0.049957,0.025000,0.045000,0.065000,0.5004,0.9008,0.6852,0.8436,0.6634,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9082,C,0.5877,0.8122,1.0329,0.077832,0.6500,0.0000,11.76,0.023124,1.0000,0.8144,1,1,1,1.0,3.0,0.033000,0.084818,0.009770,5
AXSUSDT,240,-1,0.5835,1.0000,1.0000,1.101000,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8496,0.6289,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8852,D,0.5835,0.8065,1.0895,0.086773,0.6289,0.0000,9.73,0.019771,1.0000,0.8126,1,1,1,1.0,3.0,0.033000,0.106267,0.010899,5
HBARUSDT,240,-1,0.5784,1.0000,1.0000,0.144760,0.033828,0.025000,0.045000,0.065000,0.7390,1.3303,0.6852,0.6944,0.8300,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9141,C,0.5784,0.9868,0.8255,0.068485,0.6500,0.0000,17.10,0.018983,1.0000,0.8103,1,1,1,1.0,3.0,0.033000,0.083103,0.011398,4
DYDXUSDT,240,-1,0.5581,1.0000,1.0000,0.239000,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8520,0.4691,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8397,D,0.5581,0.8042,1.4605,0.135979,0.4691,0.0000,9.30,0.025852,1.0000,0.8012,1,1,1,1.0,3.0,0.033000,0.100418,0.020921,5
GALAUSDT,240,-1,0.5756,1.0000,1.0000,0.007620,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.7701,0.6996,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9100,C,0.5756,0.8897,0.9794,0.043670,0.6500,0.0000,9.59,0.023758,1.0000,0.8090,1,1,1,1.0,3.0,0.033000,0.106299,0.015748,5
ROSEUSDT,240,-1,0.6102,1.0000,1.0000,0.014390,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8487,0.7943,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9028,C,0.6102,0.8074,0.8626,0.080282,0.6500,0.0000,10.17,0.020926,1.0000,0.8246,1,1,1,1.0,3.0,0.033000,0.105629,0.009729,5
