symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
DOGEUSDT,1440,1,0.6424,0.9933,1.0000,0.399030,0.139533,0.104649,0.191857,0.296507,0.7500,1.3750,0.7772,0.9519,0.6573,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8932,D,0.7192,0.8165,1.1823,0.165334,0.5000,0.0067,4.60,0.000000,1.0000,0.8736,0.0,-1.0,-0.139533,0.046287,0.147683,4
BTCUSDT,1440,1,0.6991,0.9933,1.0000,90413.296875,0.062250,0.046687,0.085593,0.132281,0.7500,1.3750,0.8401,0.9822,0.7494,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9129,C,0.7658,0.8553,1.1210,0.175532,0.5000,0.0067,11.23,0.000000,1.0000,0.8946,1.0,1.0,0.046687,0.049060,0.040915,7
1000PEPEUSDT,1440,1,0.5859,0.9933,1.0000,0.020829,0.135645,0.101734,0.186511,0.288245,0.7500,1.3750,0.7772,0.9136,0.4992,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8635,D,0.6786,0.8507,1.5569,0.179490,0.4992,0.0067,4.32,0.000000,1.0000,0.8554,1.0,2.0,0.186511,0.248266,0.035038,1
XRPUSDT,1440,1,0.6264,0.9933,1.0000,0.774100,0.099954,0.074966,0.137437,0.212403,0.7500,1.3750,0.7772,0.9378,0.6116,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8865,D,0.7066,0.8287,1.2706,0.165935,0.5000,0.0067,6.27,0.000000,1.0000,0.8680,1.0,2.0,0.137437,0.199199,0.004651,1
BTCUSDT,1440,1,0.6601,0.9933,1.0000,87382.703125,0.066520,0.049890,0.091465,0.141355,0.7500,1.3750,0.7772,0.9716,0.7090,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8988,D,0.7344,0.7999,1.0961,0.168492,0.5000,0.0067,9.92,0.000000,1.0000,0.8805,1.0,1.0,0.049890,0.051942,0.003109,1
1000PEPEUSDT,1440,1,0.6018,0.9933,1.0000,0.020676,0.159504,0.119628,0.219318,0.338946,0.7500,1.3750,0.7772,0.9224,0.5423,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8733,D,0.6892,0.8425,1.4330,0.172803,0.5000,0.0067,3.77,0.000000,1.0000,0.8601,1.0,1.0,0.119628,0.162469,0.089993,1
ADAUSDT,1440,1,0.6231,0.9933,1.0000,0.707600,0.120505,0.090379,0.165694,0.256073,0.7500,1.3750,0.7772,0.9346,0.6028,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8851,D,0.7040,0.8315,1.2892,0.166131,0.5000,0.0067,5.17,0.000000,1.0000,0.8668,1.0,1.0,0.090379,0.158705,0.006642,1
1000BONKUSDT,1440,1,0.6100,0.9933,1.0000,0.045306,0.175947,0.131960,0.241927,0.373887,0.7500,1.3750,0.7772,0.9255,0.5659,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8783,D,0.6945,0.8397,1.3733,0.169224,0.5000,0.0067,3.47,0.000000,1.0000,0.8625,1.0,2.0,0.241927,0.250761,0.149274,2
XLMUSDT,1440,1,0.6188,0.9933,1.0000,0.145880,0.093454,0.070091,0.128500,0.198590,0.7500,1.3750,0.7772,0.9298,0.5916,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8833,D,0.7006,0.8358,1.3135,0.166199,0.5000,0.0067,6.62,0.000000,1.0000,0.8652,1.0,3.0,0.198590,0.658898,0.034892,1
DOGEUSDT,1440,1,0.6121,0.9933,1.0000,0.382030,0.153599,0.115199,0.211198,0.326397,0.7500,1.3750,0.8401,0.8139,0.5784,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8922,D,0.6861,1.0322,1.4525,0.146851,0.5000,0.0067,3.99,0.000000,1.0000,0.8587,1.0,2.0,0.211198,0.259063,0.109756,8
XRPUSDT,1440,1,0.6393,0.9933,1.0000,0.892400,0.100720,0.075540,0.138489,0.214029,0.7500,1.3750,0.7772,0.9486,0.6488,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8921,D,0.7166,0.8193,1.1979,0.165067,0.5000,0.0067,6.35,0.000000,1.0000,0.8725,1.0,3.0,0.214029,0.423129,0.015912,1
1000PEPEUSDT,1440,1,0.6402,0.9933,1.0000,0.023347,0.156719,0.117539,0.215489,0.333028,0.7500,1.3750,0.8401,0.9327,0.5829,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8886,D,0.7205,0.9007,1.4412,0.177993,0.5000,0.0067,4.09,0.000000,1.0000,0.8742,0.0,-1.0,-0.156719,0.013809,0.168840,2
XLMUSDT,1440,1,0.6393,0.9933,1.0000,0.220950,0.109645,0.082234,0.150763,0.232997,0.7500,1.3750,0.7772,0.9485,0.6486,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8921,D,0.7166,0.8193,1.1982,0.165062,0.5000,0.0067,5.83,0.000000,1.0000,0.8725,0.0,-1.0,-0.109645,0.022222,0.144331,1
HBARUSDT,1440,1,0.6094,0.9933,1.0000,0.090040,0.126431,0.094823,0.173842,0.268665,0.7500,1.3750,0.7772,0.9253,0.5641,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8779,D,0.6941,0.8399,1.3778,0.169488,0.5000,0.0067,4.82,0.000000,1.0000,0.8623,1.0,3.0,0.268665,0.654820,0.079409,2
1000BONKUSDT,1440,1,0.6246,0.9933,1.0000,0.047420,0.181242,0.135932,0.249208,0.385140,0.7500,1.3750,0.7772,0.9352,0.6071,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8859,D,0.7050,0.8310,1.2801,0.165693,0.5000,0.0067,3.45,0.000000,1.0000,0.8673,1.0,1.0,0.135932,0.195002,0.067313,1
LTCUSDT,1440,1,0.5942,0.9933,1.0000,95.529999,0.092852,0.069639,0.127671,0.197310,0.7500,1.3750,0.7142,0.9461,0.5842,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8700,D,0.6830,0.7548,1.2225,0.168394,0.5000,0.0067,6.40,0.000000,1.0000,0.8574,0.0,-1.0,-0.092852,0.021041,0.110227,1
ADAUSDT,1440,1,0.6326,0.9933,1.0000,0.742000,0.124731,0.093548,0.171504,0.265052,0.7500,1.3750,0.7772,0.9415,0.6301,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8896,D,0.7111,0.8255,1.2334,0.164738,0.5000,0.0067,5.07,0.000000,1.0000,0.8700,1.0,1.0,0.093548,0.143935,0.069542,4
TRXUSDT,1440,1,0.6225,0.9933,1.0000,0.200320,0.060652,0.045489,0.083397,0.128886,0.7500,1.3750,0.7772,0.9273,0.6051,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8862,D,0.7024,0.8381,1.2843,0.163232,0.5000,0.0067,10.26,0.000000,1.0000,0.8661,1.0,2.0,0.083397,0.124151,0.039687,7
ADAUSDT,1440,1,0.6403,0.9933,1.0000,0.703000,0.135805,0.101854,0.186732,0.288585,0.7500,1.3750,0.8401,0.9118,0.5968,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8928,D,0.7172,0.9214,1.4078,0.169231,0.5000,0.0067,4.71,0.000000,1.0000,0.8727,1.0,1.0,0.101854,0.117496,0.003414,1
SOLUSDT,1440,1,0.6600,0.9933,1.0000,237.610001,0.093714,0.070286,0.128857,0.199143,0.7500,1.3750,0.7772,0.9714,0.7087,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8987,D,0.7343,0.8000,1.0966,0.168464,0.5000,0.0067,7.04,0.000000,1.0000,0.8805,1.0,1.0,0.070286,0.095408,0.034763,4
HBARUSDT,1440,1,0.6237,0.9933,1.0000,0.090180,0.131450,0.098587,0.180743,0.279330,0.7500,1.3750,0.7772,0.9343,0.6050,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8856,D,0.7043,0.8318,1.2845,0.165678,0.5000,0.0067,4.75,0.000000,1.0000,0.8670,1.0,3.0,0.279330,0.652251,0.033156,1
DOGEUSDT,1440,1,0.5627,0.9933,1.0000,0.367370,0.158145,0.118609,0.217449,0.336058,0.7500,1.3750,0.8401,0.7206,0.5011,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8722,D,0.6452,1.1658,1.6767,0.146163,0.5000,0.0067,3.56,0.000000,1.0000,0.8403,1.0,1.0,0.118609,0.145984,0.027221,2
TRXUSDT,1440,1,0.6270,0.9933,1.0000,0.199630,0.061804,0.046353,0.084981,0.131334,0.7500,1.3750,0.8401,0.8696,0.5841,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8921,D,0.7029,0.9661,1.4383,0.159540,0.5000,0.0067,10.15,0.000000,1.0000,0.8663,1.0,2.0,0.084981,0.128037,0.033412,6
1000BONKUSDT,1440,1,0.6323,0.9933,1.0000,0.051249,0.183462,0.137596,0.252260,0.389856,0.7500,1.3750,0.7772,0.9412,0.6293,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8895,D,0.7109,0.8257,1.2349,0.164733,0.5000,0.0067,3.45,0.000000,1.0000,0.8699,1.0,1.0,0.137596,0.190833,0.113134,3
XLMUSDT,1440,1,0.6202,0.9933,1.0000,0.196560,0.135844,0.101883,0.186785,0.288668,0.7500,1.3750,0.7772,0.9288,0.5967,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8844,D,0.7012,0.8368,1.3023,0.165033,0.5000,0.0067,4.57,0.000000,1.0000,0.8656,1.0,3.0,0.288668,0.302045,0.003205,1
XLMUSDT,1440,1,0.6266,0.9933,1.0000,0.231840,0.136522,0.102392,0.187718,0.290110,0.7500,1.3750,0.7772,0.9353,0.6138,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8872,D,0.7063,0.8310,1.2662,0.164742,0.5000,0.0067,4.59,0.000000,1.0000,0.8678,1.0,1.0,0.102392,0.164381,0.040675,2
ADAUSDT,1440,1,0.6287,0.9933,1.0000,0.733300,0.134141,0.100606,0.184444,0.285050,0.7500,1.3750,0.8401,0.8673,0.5912,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8937,D,0.7036,0.9687,1.4211,0.157683,0.5000,0.0067,4.69,0.000000,1.0000,0.8666,1.0,1.0,0.100606,0.157507,0.017728,2
