symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,impulse_phase,momentum_acceleration,rsi_slope,volume_impulse_confirm,nearest_support_dist_atr,nearest_resistance_dist_atr,sr_position,ema_stack,price_vs_emas,bb_position,bb_width,elapsed,remaining,label_enter,label_cancel,weight
ENSOUSDT,240,-1,0.6019,1.0000,1.0000,0.707800,0.042800,0.020173,0.037657,0.059175,0.4713,0.8798,0.6852,0.8555,0.7333,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9547,C,0.6019,0.8009,0.9343,0.077716,0.6500,0.0000,14.06,0.026898,1.0000,0.8209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,2.8717
ENSOUSDT,240,-1,0.6019,1.0000,1.0000,0.707800,0.042800,0.020173,0.037657,0.059175,0.4713,0.8798,0.6852,0.8555,0.7333,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9547,C,0.6019,0.8009,0.9343,0.077716,0.6500,0.0000,14.06,0.026898,1.0000,0.8209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,0,0,2.8717
ENSOUSDT,240,-1,0.6019,1.0000,1.0000,0.707800,0.042800,0.020173,0.037657,0.059175,0.4713,0.8798,0.6852,0.8555,0.7333,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9547,C,0.6019,0.8009,0.9343,0.077716,0.6500,0.0000,14.06,0.026898,1.0000,0.8209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,0,1,0,2.8717
XMRUSDT,240,-1,0.6114,1.0000,1.0000,403.130005,0.042800,0.033488,0.039399,0.061913,0.7824,0.9205,0.6852,0.8429,0.8103,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9857,C,0.6114,0.8129,0.8456,0.081296,0.6500,0.0000,14.28,0.028142,1.0000,0.8251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,1.0361
XMRUSDT,240,-1,0.6114,1.0000,1.0000,403.130005,0.042800,0.033488,0.039399,0.061913,0.7824,0.9205,0.6852,0.8429,0.8103,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9857,C,0.6114,0.8129,0.8456,0.081296,0.6500,0.0000,14.28,0.028142,1.0000,0.8251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,0,0,1.0361
XMRUSDT,240,-1,0.6114,1.0000,1.0000,403.130005,0.042800,0.033488,0.039399,0.061913,0.7824,0.9205,0.6852,0.8429,0.8103,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9857,C,0.6114,0.8129,0.8456,0.081296,0.6500,0.0000,14.28,0.028142,1.0000,0.8251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,0,1,0,1.0361
JUPUSDT,240,-1,0.6095,1.0000,1.0000,0.236100,0.042800,0.020697,0.038634,0.060710,0.4836,0.9027,0.6852,0.8403,0.8026,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9583,C,0.6095,0.8154,0.8537,0.079057,0.6500,0.0000,14.24,0.027595,1.0000,0.8243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,3.1066
JUPUSDT,240,-1,0.6095,1.0000,1.0000,0.236100,0.042800,0.020697,0.038634,0.060710,0.4836,0.9027,0.6852,0.8403,0.8026,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9583,C,0.6095,0.8154,0.8537,0.079057,0.6500,0.0000,14.24,0.027595,1.0000,0.8243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,0,0,3.1066
JUPUSDT,240,-1,0.6095,1.0000,1.0000,0.236100,0.042800,0.020697,0.038634,0.060710,0.4836,0.9027,0.6852,0.8403,0.8026,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9583,C,0.6095,0.8154,0.8537,0.079057,0.6500,0.0000,14.24,0.027595,1.0000,0.8243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,0,1,0,3.1066
CAKEUSDT,240,-1,0.6213,1.0000,1.0000,2.326600,0.042800,0.019200,0.035300,0.050200,0.4486,0.8248,0.6852,0.8418,0.8731,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9506,C,0.6213,0.8140,0.7848,0.096371,0.6500,0.0000,14.52,0.020097,1.0000,0.8296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,2.2224
