symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
MUBARAKUSDT,60,-1,0.6202,1.0000,1.0000,0.017980,0.030000,0.015944,0.028000,0.040000,0.5315,0.9333,0.6852,0.8443,0.8626,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9056,C,0.6202,0.8116,0.7943,0.093976,0.6500,0.0000,20.67,0.013814,1.0000,0.8291,1,1,1,1.0,3.0,0.020761,0.087875,0.007230,7
BTCUSDT,60,-1,0.5969,1.0000,1.0000,88028.101562,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8531,0.7058,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9031,C,0.5969,0.8032,0.9708,0.077408,0.6500,0.0000,19.90,0.006888,1.0000,0.8186,1,1,1,1.0,3.0,0.020100,0.046452,0.001194,9
SEIUSDT,60,-1,0.5936,1.0000,1.0000,0.104900,0.026980,0.015000,0.028000,0.040000,0.5560,1.0378,0.6852,0.7696,0.8109,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9136,C,0.5936,0.8904,0.8449,0.064264,0.6500,0.0000,22.00,0.009434,1.0000,0.8171,1,1,1,1.0,3.0,0.020100,0.053384,0.002860,8
AWEUSDT,60,-1,0.5557,1.0000,1.0000,0.051850,0.022636,0.015000,0.028000,0.040000,0.6627,1.2370,0.6852,0.8410,0.8502,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8839,D,0.5557,0.8147,0.8059,0.089922,0.6500,0.0000,24.55,0.007951,1.0000,0.8000,1,1,0,1.0,2.0,0.017502,0.028351,0.009065,9
MERLUSDT,60,-1,0.5763,1.0000,1.0000,0.072330,0.030000,0.026417,0.049312,0.077490,0.8806,1.6437,0.6852,0.8472,0.5879,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9034,C,0.5763,0.8087,1.1654,0.095834,0.5879,0.0000,19.21,0.035223,1.0000,0.8093,0,0,0,0.0,-1.0,-0.030000,0.020185,0.034149,7
ONDOUSDT,60,-1,0.5762,1.0000,1.0000,0.331700,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8467,0.5884,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8807,D,0.5762,0.8093,1.1645,0.095479,0.5884,0.0000,19.21,0.015185,1.0000,0.8093,1,1,1,1.0,3.0,0.020100,0.065119,0.002713,8
ARBUSDT,60,-1,0.5629,1.0000,1.0000,0.165500,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.7808,0.6051,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8946,D,0.5629,0.8776,1.1324,0.064606,0.6051,0.0000,18.76,0.013345,1.0000,0.8033,1,1,1,1.0,3.0,0.020100,0.069486,0.001813,7
WLDUSDT,60,-1,0.5753,1.0000,1.0000,0.505000,0.030000,0.101782,0.103782,0.120785,3.3927,3.4594,0.6852,0.7188,0.7743,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0834,C,0.5753,0.9532,0.8849,0.045796,0.6500,0.0000,19.18,0.054902,1.0000,0.8089,1,1,0,1.0,2.0,0.102092,0.131089,0.002376,19
1000SHIBUSDT,60,-1,0.5633,1.0000,1.0000,0.007588,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8067,0.5687,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8808,D,0.5633,0.8494,1.2048,0.085629,0.5687,0.0000,18.78,0.009493,1.0000,0.8035,1,1,1,1.0,3.0,0.020100,0.051002,0.000791,8
SUIUSDT,60,-1,0.5741,1.0000,1.0000,1.368200,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.6779,0.8286,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8970,D,0.5741,1.0107,0.8269,0.069481,0.6500,0.0000,19.14,0.012656,1.0000,0.8084,1,1,1,1.0,3.0,0.020100,0.068338,0.002266,7
