symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,strategy_id,strategy_name,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
ONDOUSDT,240,-1,0.5540,0.0000,1.0000,0.513200,0.014441,1.000000,1.000000,1.002000,69.2462,69.2462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.000000,0.0000,1.0000,38.37,0.019255,0.0000,0.0000,0,0,0,2,indicator_heuristic,0.0,0.0,0.194271,0.224084,0.014419,100
BIOUSDT,240,-1,0.5564,0.0000,1.0000,0.057970,0.016162,1.000000,1.002000,1.004000,61.8750,61.9988,0.0000,0.5511,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.247144,0.0000,1.0000,34.43,0.021549,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,0.0,0.205106,0.263067,0.003278,100
MMTUSDT,240,-1,0.5771,0.0000,1.0000,0.246100,0.030000,1.000000,1.002000,1.004000,33.3333,33.4000,0.0000,0.6244,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.270917,0.0000,1.0000,19.24,0.045189,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.030000,0.022755,0.103616,3
DYDXUSDT,240,-1,0.5945,0.0000,1.0000,0.244000,0.019258,1.000000,1.002000,1.004000,51.9262,52.0300,0.0000,0.4861,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.312662,0.0000,1.0000,30.87,0.025677,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,0.0,0.250000,0.286885,0.008197,100
LDOUSDT,240,-1,0.5507,0.0000,1.0000,0.650700,0.014435,1.000000,1.002000,1.004000,69.2778,69.4164,0.0000,0.5307,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.240878,0.0000,1.0000,38.15,0.019246,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.014435,0.013216,0.017366,3
TRUTHUSDT,240,-1,0.5672,0.0000,1.0000,0.021336,0.030000,1.000000,1.002000,1.004000,33.3334,33.4000,0.0000,0.3895,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.300982,0.0000,1.0000,18.91,0.072244,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.030000,0.593363,0.156871,64
LINKUSDT,240,-1,0.5682,0.0000,1.0000,13.103000,0.011823,1.000000,1.000000,1.002000,84.5830,84.5830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.000000,0.0000,1.0000,48.06,0.015764,0.0000,0.0000,0,0,0,2,indicator_heuristic,0.0,-1.0,-0.011823,0.010608,0.017019,3
JUPUSDT,240,-1,0.5805,0.0000,1.0000,0.247500,0.015260,1.000000,1.000000,1.002000,65.5319,65.5319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.000000,0.0000,1.0000,38.04,0.020346,0.0000,0.0000,0,0,0,2,indicator_heuristic,0.0,-1.0,-0.015260,0.007677,0.025859,3
CRVUSDT,240,-1,0.5504,0.0000,1.0000,0.428000,0.015306,1.000000,1.000000,1.002000,65.3333,65.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.000000,0.0000,1.0000,35.96,0.020408,0.0000,0.0000,0,0,0,2,indicator_heuristic,0.0,0.0,0.144860,0.186916,0.009346,100
USELESSUSDT,240,-1,0.5569,0.0000,1.0000,0.114500,0.030000,1.000000,1.002000,1.004000,33.3333,33.4000,0.0000,0.3530,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.297984,0.0000,1.0000,18.56,0.064736,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.030000,0.035808,0.060262,3
GALAUSDT,240,-1,0.5791,0.0000,1.0000,0.007660,0.018658,0.999999,1.001999,1.003999,53.5961,53.7033,0.0000,0.4316,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.305428,0.0000,1.0000,31.04,0.024877,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.018658,0.143603,0.027415,23
PENDLEUSDT,240,-1,0.5706,0.0000,1.0000,2.650300,0.018057,1.000000,1.002000,1.004000,55.3792,55.4900,0.0000,0.4013,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.302120,0.0000,1.0000,31.60,0.024076,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.018057,0.020715,0.023960,4
RENDERUSDT,240,-1,0.5652,0.0000,1.0000,1.765000,0.019172,1.000000,1.002000,1.004000,52.1602,52.2646,0.0000,0.3824,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.300338,0.0000,1.0000,29.48,0.025562,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,0.0,0.202266,0.232295,0.015864,100
SPXUSDT,240,-1,0.5735,0.0000,1.0000,0.675400,0.029233,1.000000,1.002000,1.004000,34.2076,34.2760,0.0000,0.4116,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.303189,0.0000,1.0000,19.62,0.038978,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.029233,0.020136,0.052413,3
ZECUSDT,240,-1,0.5651,0.0000,1.0000,456.760010,0.028818,1.000000,1.002000,1.004000,34.7000,34.7694,0.0000,0.5818,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.256916,0.0000,1.0000,19.61,0.038425,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.028818,0.341492,0.042998,79
PUMPUSDT,240,-1,0.5731,0.0000,1.0000,0.002887,0.023990,0.999997,1.001997,1.003997,41.6833,41.7667,0.0000,0.4103,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.303051,0.0000,1.0000,23.89,0.031987,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.023990,0.014202,0.040526,2
ETHUSDT,240,-1,0.5539,0.0000,1.0000,3000.439941,0.010813,1.000000,1.002000,1.004000,92.4775,92.6625,0.0000,0.3421,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.297245,0.0000,1.0000,51.22,0.014418,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.010813,0.005413,0.017254,3
DOGEUSDT,240,-1,0.5784,0.0000,1.0000,0.149290,0.012594,1.000000,1.000000,1.002000,79.4056,79.4056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.000000,0.0000,1.0000,45.93,0.016791,0.0000,0.0000,0,0,0,2,indicator_heuristic,0.0,-1.0,-0.012594,0.118159,0.018153,19
WIFUSDT,240,-1,0.5680,0.0000,1.0000,0.376200,0.019873,1.000000,1.002000,1.004000,50.3192,50.4198,0.0000,0.3923,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.301248,0.0000,1.0000,28.58,0.026498,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.019873,0.013822,0.030037,3
UNIUSDT,240,-1,0.5581,0.0000,1.0000,6.118000,0.015408,1.000000,1.002000,1.004000,64.9012,65.0310,0.0000,0.3571,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.298283,0.0000,1.0000,36.22,0.020544,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.015408,0.012259,0.016999,1
BCHUSDT,240,-1,0.5728,0.0000,1.0000,524.099976,0.014145,1.000000,1.002000,1.004000,70.6958,70.8372,0.0000,0.4094,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.302949,0.0000,1.0000,40.50,0.018860,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.014145,0.009845,0.034287,2
RIVERUSDT,240,-1,0.5670,0.0000,1.0000,3.436000,0.030000,1.000000,1.002000,1.004000,33.3333,33.4000,0.0000,0.3888,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.300915,0.0000,1.0000,18.90,0.097430,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.030000,0.024447,0.036088,2
