symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
ZILUSDT,5,-1,0.6549,1.0000,0.0000,0.004270,0.008000,0.010539,0.210539,0.410539,1.3173,26.3173,0.6852,0.8743,0.7883,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0440,C,0.6549,0.7837,0.8692,0.088191,0.6500,1.0000,81.86,0.005670,1.0000,0.8447,1,0,0,1.0,1.0,0.010187,0.018735,0.004684,100
POWERUSDT,5,-1,0.6194,1.0000,0.0000,0.313800,0.008000,0.008230,0.015362,0.024140,1.0287,1.9203,0.6852,0.8891,0.5611,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9703,C,0.6194,0.7707,1.2211,0.120116,0.5611,1.0000,77.43,0.010973,1.0000,0.8287,1,1,1,1.0,3.0,0.011247,0.031166,0.000000,3
AWEUSDT,5,-1,0.6248,1.0000,0.0000,0.089010,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.9226,0.5422,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9361,C,0.6248,0.7427,1.2637,0.138885,0.5422,1.0000,78.10,0.004101,1.0000,0.8312,1,1,1,1.0,3.0,0.007440,0.017638,0.002921,28
BEATUSDT,5,-1,0.6708,1.0000,0.0000,0.243300,0.008000,0.014139,0.214139,0.414139,1.7674,26.7673,0.6852,0.8818,0.8690,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0842,C,0.6708,0.7771,0.7884,0.104740,0.6500,1.0000,83.85,0.008399,1.0000,0.8518,1,0,0,1.0,1.0,0.010197,0.017263,0.001233,16
TRUTHUSDT,5,-1,0.6675,1.0000,0.0000,0.010665,0.008000,0.011802,0.022030,0.034618,1.4752,2.7537,0.6852,0.8707,0.8668,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0605,C,0.6675,0.7869,0.7904,0.101375,0.6500,1.0000,83.44,0.015736,1.0000,0.8504,0,0,0,0.0,-1.0,-0.008000,0.000281,0.009095,1
GALAUSDT,5,-1,0.6683,1.0000,0.0000,0.004060,0.008000,0.008210,0.010500,0.017000,1.0263,1.3125,0.6852,0.8640,0.8815,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0056,C,0.6683,0.7930,0.7773,0.103535,0.6500,1.0000,83.54,0.005291,1.0000,0.8507,1,0,0,1.0,1.0,0.006047,0.009852,0.002463,10
AWEUSDT,5,-1,0.6053,1.0000,0.0000,0.088820,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.8502,0.5375,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9442,C,0.6053,0.8059,1.2747,0.112029,0.5375,1.0000,75.66,0.003969,1.0000,0.8224,1,0,0,1.0,1.0,0.003940,0.005629,0.005066,10
AWEUSDT,5,-1,0.6207,1.0000,0.0000,0.089130,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.7320,0.8042,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9881,C,0.6207,0.9360,0.8520,0.057723,0.6500,1.0000,77.59,0.003937,1.0000,0.8293,1,1,1,1.0,3.0,0.007440,0.018961,0.001571,25
BEATUSDT,5,-1,0.6366,1.0000,0.0000,0.242700,0.008000,0.010026,0.010917,0.017155,1.2533,1.3646,0.6852,0.8215,0.7620,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0415,C,0.6366,0.8341,0.8992,0.066708,0.6500,1.0000,79.58,0.007798,1.0000,0.8365,1,1,0,1.0,2.0,0.010105,0.014833,0.003708,10
SIRENUSDT,5,-1,0.6029,1.0000,0.0000,0.213790,0.008000,0.009234,0.017236,0.027085,1.1542,2.1545,0.6852,0.9071,0.8261,0.6500,1.0000,0.6000,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9877,C,0.6029,0.7553,0.8294,0.104295,0.6500,1.0000,75.37,0.012311,1.0000,0.8213,1,0,0,1.0,1.0,0.006764,0.012349,0.000889,2
ZILUSDT,5,-1,0.6588,1.0000,0.0000,0.004270,0.008000,0.010539,0.210539,0.410539,1.3173,26.3173,0.6852,0.8742,0.8110,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0439,C,0.6588,0.7837,0.8449,0.091171,0.6500,1.0000,82.35,0.005075,1.0000,0.8464,1,0,0,1.0,1.0,0.010890,0.018735,0.002342,100
