Started Kafka consumer, listening on topic: candles.close
Received candle close event: DOGEUSDT 1m at 1770948899999
Received candle close event: TAOUSDT 5m at 1770948899999
Received candle close event: ASTERUSDT 15m at 1770948899999
Received candle close event: XRPUSDT 1m at 1770948899999
Received candle close event: WLDUSDT 5m at 1770948899999
Received candle close event: 0GUSDT 1m at 1770948899999
Received candle close event: HYPEUSDT 15m at 1770948899999
Received candle close event: FARTCOINUSDT 15m at 1770948899999
Received candle close event: BNBUSDT 5m at 1770948899999
Received candle close event: AAVEUSDT 15m at 1770948899999
Received candle close event: DOGEUSDT 15m at 1770948899999
Received candle close event: TAOUSDT 15m at 1770948899999
Received candle close event: 1000PEPEUSDT 1m at 1770948899999
Received candle close event: 0GUSDT 5m at 1770948899999
Received candle close event: ASTERUSDT 5m at 1770948899999
Received candle close event: BCHUSDT 1m at 1770948899999
Received candle close event: VIRTUALUSDT 1m at 1770948899999
Received candle close event: BNBUSDT 1m at 1770948899999
Received candle close event: DOGEUSDT 5m at 1770948899999
Received candle close event: HBARUSDT 1m at 1770948899999
Received candle close event: 1000PEPEUSDT 5m at 1770948899999
Received candle close event: BCHUSDT 5m at 1770948899999
Received candle close event: VIRTUALUSDT 15m at 1770948899999
Received candle close event: LINKUSDT 1m at 1770948899999
Received candle close event: HBARUSDT 15m at 1770948899999
Received candle close event: UNIUSDT 5m at 1770948899999
Received candle close event: ARBUSDT 1m at 1770948899999
Received candle close event: XRPUSDT 15m at 1770948899999
Received candle close event: VIRTUALUSDT 5m at 1770948899999
Received candle close event: BNBUSDT 15m at 1770948899999
Received candle close event: PIPPINUSDT 15m at 1770948899999
Received candle close event: SOLUSDT 5m at 1770948899999
Received candle close event: HBARUSDT 5m at 1770948899999
Received candle close event: ZROUSDT 15m at 1770948899999
Received candle close event: SUIUSDT 5m at 1770948899999
Received candle close event: ETHUSDT 15m at 1770948899999
Received candle close event: MOODENGUSDT 15m at 1770948899999
